"ts_code";"bigdata_num";"data_warehouse";"cloud_computing";"information_assets";"digitization";"ann_date";"year"
"300174";"0";"0";"0";"0";"0";"2018";"2018"
"000001";"0";"0";"0";"0";"0";"2009";"2009"
"000938";"0";"0";"0";"0";"0";"2013";"2013"
"000001";"0";"0";"0";"0";"0";"2010";"2010"
"002467";"1";"0";"0";"0";"0";"2010";"2010"
"000001";"0";"0";"0";"0";"0";"2011";"2011"
"002467";"0";"0";"0";"0";"0";"2011";"2011"
"002467";"0";"0";"1";"0";"0";"2012";"2012"
"000001";"0";"0";"0";"0";"0";"2012";"2012"
"000001";"0";"0";"0";"0";"0";"2013";"2013"
"000938";"0";"0";"0";"0";"0";"2015";"2015"
"000001";"1";"0";"0";"0";"0";"2014";"2014"
"600077";"0";"0";"0";"0";"0";"2012";"2012"
"300174";"0";"0";"0";"0";"0";"2019";"2019"
"000938";"0";"0";"0";"0";"0";"2016";"2016"
"000938";"19";"0";"8";"0";"2";"2017";"2017"
"000938";"20";"0";"10";"0";"26";"2018";"2018"
"300175";"0";"0";"0";"0";"0";"2010";"2010"
"002467";"0";"0";"0";"0";"0";"2013";"2013"
"600077";"0";"0";"0";"0";"0";"2013";"2013"
"600077";"0";"0";"0";"0";"0";"2014";"2014"
"000001";"0";"0";"0";"0";"0";"2015";"2015"
"000001";"5";"0";"0";"0";"0";"2016";"2016"
"300175";"0";"0";"0";"0";"0";"2011";"2011"
"000002";"0";"0";"0";"1";"0";"2009";"2009"
"002467";"4";"0";"4";"0";"0";"2014";"2014"
"600077";"0";"0";"0";"0";"0";"2015";"2015"
"300175";"0";"0";"0";"0";"0";"2013";"2013"
"300175";"0";"0";"0";"0";"0";"2015";"2015"
"300175";"0";"0";"0";"0";"0";"2016";"2016"
"300175";"0";"0";"0";"0";"0";"2017";"2017"
"300175";"0";"0";"0";"0";"0";"2018";"2018"
"300176";"0";"0";"0";"0";"0";"2010";"2010"
"600077";"0";"0";"0";"0";"0";"2016";"2016"
"000938";"0";"0";"0";"0";"0";"2019";"2019"
"000948";"0";"0";"0";"0";"0";"2009";"2009"
"002467";"3";"0";"12";"0";"0";"2016";"2016"
"002467";"1";"0";"3";"0";"0";"2017";"2017"
"300176";"0";"0";"0";"0";"0";"2012";"2012"
"300176";"0";"0";"0";"0";"0";"2019";"2019"
"000002";"0";"0";"0";"0";"0";"2010";"2010"
"000002";"0";"0";"0";"0";"0";"2011";"2011"
"300177";"0";"0";"0";"0";"0";"2010";"2010"
"300177";"0";"0";"0";"0";"0";"2011";"2011"
"000948";"0";"0";"2";"0";"0";"2010";"2010"
"000948";"0";"0";"0";"0";"0";"2011";"2011"
"600077";"0";"0";"0";"0";"0";"2018";"2018"
"300177";"0";"0";"0";"0";"3";"2012";"2012"
"300177";"0";"0";"0";"0";"1";"2013";"2013"
"000948";"0";"0";"7";"0";"0";"2012";"2012"
"300177";"1";"0";"0";"0";"0";"2016";"2016"
"000948";"0";"0";"0";"0";"0";"2013";"2013"
"000002";"0";"0";"0";"0";"0";"2012";"2012"
"000948";"0";"0";"1";"0";"0";"2014";"2014"
"000948";"3";"0";"3";"0";"0";"2016";"2016"
"000002";"0";"0";"0";"0";"0";"2013";"2013"
"000948";"2";"0";"2";"0";"1";"2017";"2017"
"000002";"0";"0";"0";"0";"0";"2014";"2014"
"002467";"0";"0";"4";"0";"0";"2018";"2018"
"002467";"0";"0";"1";"0";"0";"2019";"2019"
"002468";"0";"0";"0";"0";"0";"2010";"2010"
"000948";"22";"0";"22";"0";"23";"2018";"2018"
"000948";"9";"1";"3";"0";"13";"2019";"2019"
"300177";"11";"0";"0";"0";"0";"2017";"2017"
"000002";"0";"0";"0";"0";"0";"2015";"2015"
"000949";"0";"0";"0";"0";"0";"2009";"2009"
"000949";"0";"0";"0";"0";"0";"2010";"2010"
"000949";"0";"0";"0";"0";"0";"2011";"2011"
"000949";"0";"0";"0";"0";"0";"2012";"2012"
"000949";"0";"0";"0";"0";"1";"2015";"2015"
"000949";"0";"0";"0";"0";"0";"2016";"2016"
"000949";"0";"0";"0";"0";"0";"2017";"2017"
"000949";"0";"0";"0";"0";"0";"2018";"2018"
"300177";"10";"0";"1";"0";"1";"2018";"2018"
"300177";"7";"0";"1";"0";"0";"2019";"2019"
"000002";"0";"0";"0";"0";"0";"2016";"2016"
"000002";"0";"0";"0";"0";"0";"2017";"2017"
"000002";"0";"0";"0";"0";"0";"2018";"2018"
"000949";"0";"0";"0";"0";"2";"2019";"2019"
"000950";"0";"0";"0";"0";"0";"2009";"2009"
"600079";"0";"0";"0";"0";"0";"2009";"2009"
"600079";"0";"0";"0";"0";"0";"2010";"2010"
"000004";"0";"0";"0";"0";"0";"2009";"2009"
"000950";"0";"0";"0";"0";"0";"2010";"2010"
"600079";"0";"0";"0";"0";"0";"2011";"2011"
"000004";"0";"0";"0";"0";"0";"2010";"2010"
