"ts_code";"ann_date";"ann_type";"title";"pub_time";"src_url"
"000001.SZ";"2009";"年度报告";"2009年年度报告摘要";"2010-03-12 06:30:00";"http://static.cninfo.com.cn/finalpage/2016-06-01/1202347815.PDF"
"000001.SZ";"2010";"年度报告";"2010年年度报告";"2011-02-25 06:32:00";"http://static.cninfo.com.cn/finalpage/2011-02-25/59043233.PDF"
"000001.SZ";"2011";"年度报告";"2011年年度报告摘要";"2012-03-09 06:30:00";"http://static.cninfo.com.cn/finalpage/2012-03-09/60645660.PDF"
"000001.SZ";"2012";"年度报告";"2012年年度报告摘要";"2013-03-08 00:00:00";"http://static.cninfo.com.cn/finalpage/2013-03-08/62193048.PDF"
"000001.SZ";"2013";"年度报告";"2013年年度报告摘要";"2014-03-07 00:00:00";"http://static.cninfo.com.cn/finalpage/2014-03-07/63646348.PDF"
"000001.SZ";"2014";"年度报告";"2014年年度报告摘要";"2015-03-13 00:00:00";"http://static.cninfo.com.cn/finalpage/2015-03-13/1200694562.PDF"
"000001.SZ";"2015";"年度报告";"2015年年度报告";"2016-03-10 00:00:00";"http://static.cninfo.com.cn/finalpage/2016-03-10/1202033390.PDF"
"000001.SZ";"2016";"年度报告";"2016年年度报告摘要";"2017-03-17 00:00:00";"http://static.cninfo.com.cn/finalpage/2017-03-17/1203167521.PDF"
"000002.SZ";"2009";"年度报告";"2009年年度报告";"2010-03-02 06:30:00";"http://static.cninfo.com.cn/finalpage/2010-03-02/57640037.PDF"
"000002.SZ";"2010";"年度报告";"2010年年度报告";"2011-03-08 06:30:00";"http://static.cninfo.com.cn/finalpage/2011-03-08/59091433.PDF"
"000002.SZ";"2011";"年度报告";"2011年年度报告摘要";"2012-03-13 06:30:00";"http://static.cninfo.com.cn/finalpage/2012-03-13/60660531.PDF"
"000002.SZ";"2012";"年度报告";"2012年年度报告";"2013-02-28 00:00:00";"http://static.cninfo.com.cn/finalpage/2013-02-28/62162993.PDF"
"000002.SZ";"2013";"年度报告";"2013年年度报告摘要";"2014-03-07 00:00:00";"http://static.cninfo.com.cn/finalpage/2014-03-07/63646577.PDF"
"000002.SZ";"2014";"年度报告";"2014年年度报告摘要";"2015-03-31 00:00:00";"http://static.cninfo.com.cn/finalpage/2015-03-31/1200767944.PDF"
"000002.SZ";"2015";"年度报告";"2015年年度报告（更新后）";"2017-04-18 00:00:00";"http://static.cninfo.com.cn/finalpage/2017-04-18/1203314633.PDF"
"000002.SZ";"2016";"年度报告";"2016年年度报告";"2017-03-27 00:00:00";"http://static.cninfo.com.cn/finalpage/2017-03-27/1203197044.PDF"
"000002.SZ";"2017";"年度报告";"2017年年度报告摘要";"2018-03-27 00:00:00";"http://static.cninfo.com.cn/finalpage/2018-03-27/1204519142.PDF"
"000002.SZ";"2018";"年度报告";"2018年年度报告摘要";"2019-03-26 00:00:00";"http://static.cninfo.com.cn/finalpage/2019-03-26/1205937908.PDF"
"000004.SZ";"2009";"年度报告";"2009年年度报告（已取消）";"2010-04-17 06:30:00";"http://static.cninfo.com.cn/finalpage/2010-04-17/57825926.PDF"
"000004.SZ";"2010";"年度报告";"2010年年度报告摘要";"2011-04-23 06:30:00";"http://static.cninfo.com.cn/finalpage/2011-04-23/59323950.PDF"
"000004.SZ";"2011";"年度报告";"2011年年度报告摘要";"2012-04-21 06:30:00";"http://static.cninfo.com.cn/finalpage/2012-04-21/60871508.PDF"
