"money";"ts_code";"time"
"600400000";"000001";"2011"
"415906000";"000001";"2011"
"184494000";"000001";"2011"
"176815000";"000001";"2012"
"167365000";"000001";"2012"
"344180000";"000001";"2012"
"127000000";"000001";"2013"
"256000000";"000001";"2013"
"0";"000001";"2013"
"342000000";"000001";"2014"
"458000000";"000001";"2014"
"116000000";"000001";"2014"
"291000000";"000001";"2015"
"334000000";"000001";"2015"
"0";"000001";"2015"
"397000000";"000001";"2016"
"298000000";"000001";"2016"
"99000000";"000001";"2016"
"603000000";"000001";"2017"
"385000000";"000001";"2017"
"218000000";"000001";"2017"
"956000000";"000001";"2018"
"597000000";"000001";"2018"
"359000000";"000001";"2018"
"892000000";"000001";"2019"
"1014000000";"000001";"2019"
"0";"000001";"2019"
"753000000";"000001";"2020"
"0";"000001";"2020"
"531000000";"000001";"2020"
"753000000";"000001";"2020"
"0";"000001";"2020"
"531000000";"000001";"2020"
"6000";"000004";"2009"
"0";"000004";"2009"
"6000";"000004";"2009"
"0";"000004";"2010"
"4273";"000004";"2010"
"0";"000004";"2010"
"10200";"000004";"2011"
"5800";"000004";"2011"
"16000";"000004";"2011"
"0";"000004";"2012"
"10200";"000004";"2012"
"0";"000004";"2012"
"0";"000004";"2013"
"0";"000004";"2013"
"0";"000004";"2013"
"0";"000004";"2019"
"0";"000004";"2019"
"0";"000004";"2019"
"2050000";"000004";"2020"
"9487035";"000004";"2020"
"1154198";"000004";"2020"
"0";"000004";"2020"
"895801";"000004";"2020"
"5270168";"000004";"2020"
"0";"000005";"2015"
"0";"000005";"2015"
"0";"000005";"2015"
"0";"000005";"2016"
"54190";"000005";"2016"
"0";"000005";"2016"
"0";"000005";"2017"
"0";"000005";"2017"
"54190";"000005";"2017"
"28450";"000005";"2018"
"54428";"000005";"2018"
"0";"000005";"2018"
"115045";"000005";"2019"
"62787";"000005";"2019"
"52257";"000005";"2019"
"55350";"000005";"2020"
"69977";"000005";"2020"
"0";"000005";"2020"
"0";"000007";"2009"
"0";"000007";"2009"
"0";"000007";"2009"
"780";"000007";"2009"
"29433";"000007";"2009"
"17567";"000007";"2009"
"0";"000007";"2009"
"0";"000007";"2009"
"0";"000007";"2009"
"0";"000007";"2009"
"0";"000007";"2009"
"0";"000007";"2009"
"0";"000007";"2010"
"0";"000007";"2010"
"0";"000007";"2010"
"0";"000007";"2010"
"25233";"000007";"2010"
"5022";"000007";"2010"
"0";"000007";"2010"
"0";"000007";"2010"
"0";"000007";"2010"
"0";"000007";"2011"
"0";"000007";"2011"
"0";"000007";"2011"
"0";"000007";"2011"
"26000";"000007";"2011"
"1308";"000007";"2011"
"0";"000007";"2011"
"0";"000007";"2011"
"0";"000007";"2011"
"0";"000007";"2012"
"0";"000007";"2012"
"26001";"000007";"2012"
"0";"000007";"2012"
"0";"000007";"2012"
"0";"000007";"2012"
"0";"000007";"2013"
"0";"000007";"2013"
"0";"000007";"2013"
"0";"000007";"2013"
"17333";"000007";"2013"
"43000";"000007";"2013"
"0";"000007";"2014"
"0";"000007";"2014"
"0";"000007";"2014"
"43000";"000007";"2014"
"0";"000007";"2014"
"0";"000007";"2015"
"0";"000007";"2015"
"0";"000007";"2015"
"43000";"000007";"2015"
"0";"000007";"2015"
"0";"000007";"2016"
"43000";"000007";"2016"
"0";"000007";"2016"
"0";"000007";"2017"
"0";"000007";"2017"
"43000";"000007";"2017"
"0";"000007";"2017"
"0";"000007";"2017"
"0";"000007";"2017"
"0";"000007";"2018"
"0";"000007";"2018"
"43000";"000007";"2018"
"17700";"000007";"2018"
"0";"000007";"2018"
"0";"000007";"2018"
"0";"000007";"2019"
"0";"000007";"2019"
"39417";"000007";"2019"
"16225";"000007";"2019"
"0";"000007";"2019"
"0";"000007";"2019"
"0";"000007";"2020"
"0";"000007";"2020"
"43000";"000007";"2020"
"17700";"000007";"2020"
"0";"000007";"2020"
"0";"000007";"2020"
"0";"000008";"2011"
"0";"000008";"2011"
"0";"000008";"2011"
"278104";"000008";"2012"
"1405772";"000008";"2012"
"1683877";"000008";"2012"
"21333";"000008";"2013"
"465062";"000008";"2013"
"0";"000008";"2013"
"1910869";"000008";"2015"
"942301";"000008";"2015"
"968569";"000008";"2015"
"2007311";"000008";"2016"
"0";"000008";"2016"
"2303333";"000008";"2016"
"1962261";"000008";"2017"
"1263892";"000008";"2017"
"698369";"000008";"2017"
"23186204";"000008";"2018"
"4067584";"000008";"2018"
"19118620";"000008";"2018"
"41600959";"000008";"2019"
"7269741";"000008";"2019"
"34331218";"000008";"2019"
"29552485";"000008";"2020"
"12088172";"000008";"2020"
"17464313";"000008";"2020"
"0";"000009";"2009"
"0";"000009";"2009"
"0";"000009";"2009"
"97845";"000009";"2009"
"1210525";"000009";"2010"
"414139";"000009";"2010"
"796386";"000009";"2010"
"0";"000009";"2011"
"0";"000009";"2011"
"0";"000009";"2011"
"2496223";"000009";"2012"
"3205751";"000009";"2012"
"709528";"000009";"2012"
"2167161";"000009";"2013"
"1497221";"000009";"2013"
"669940";"000009";"2013"
"2553988";"000009";"2014"
"1611445";"000009";"2014"
"942543";"000009";"2014"
"1760039";"000009";"2015"
"1927367";"000009";"2015"
"0";"000009";"2015"
"3972635";"000009";"2016"
"1943178";"000009";"2016"
"2029457";"000009";"2016"
"7440652";"000009";"2017"
"3175958";"000009";"2017"
"0";"000009";"2017"
"4222004";"000009";"2017"
"6395660";"000009";"2018"
