"ppe_ta";"ts_code";"time"
"0.999733";"000001";"2009"
"0.999737";"000001";"2010"
"0.989224";"000001";"2011"
"0.99163";"000001";"2012"
"0.993112";"000001";"2013"
"0.994118";"000001";"2014"
"0.995003";"000001";"2015"
"0.995822";"000001";"2016"
"0.996223";"000001";"2017"
"0.996391";"000001";"2018"
"0.996972";"000001";"2019"
"0.997444";"000001";"2020"
"0.941875";"000004";"2009"
"0.929527";"000004";"2010"
"0.937519";"000004";"2011"
"0.94022";"000004";"2012"
"0.947945";"000004";"2013"
"0.936314";"000004";"2014"
"0.917995";"000004";"2015"
"0.889365";"000004";"2016"
"0.910323";"000004";"2017"
"1";"000004";"2018"
"0.324731";"000004";"2019"
"0.350619";"000004";"2020"
"1";"000008";"2009"
"1";"000008";"2010"
"0.999268";"000008";"2011"
"0.997118";"000008";"2012"
"0.997885";"000008";"2013"
"0.998657";"000008";"2014"
"0.636214";"000008";"2015"
"0.628671";"000008";"2016"
"0.650707";"000008";"2017"
"0.63407";"000008";"2018"
"0.672554";"000008";"2019"
"0.738149";"000008";"2020"
"0.958873";"000009";"2009"
"0.978579";"000009";"2010"
"0.974893";"000009";"2011"
"0.96017";"000009";"2012"
"0.955596";"000009";"2013"
"0.94643";"000009";"2014"
"0.954302";"000009";"2015"
"0.937028";"000009";"2016"
"0.938599";"000009";"2017"
"0.946326";"000009";"2018"
"0.948277";"000009";"2019"
"0.951595";"000009";"2020"
"0.96017";"000011";"2009"
"0.963421";"000011";"2010"
"0.971414";"000011";"2011"
"0.97112";"000011";"2012"
"0.972389";"000011";"2013"
"0.974302";"000011";"2014"
"0.978848";"000011";"2015"
"0.987153";"000011";"2016"
"1";"000011";"2017"
"1";"000011";"2018"
"0.999935";"000011";"2019"
"0.999961";"000011";"2020"
"1";"000014";"2009"
"1";"000014";"2010"
"1";"000014";"2011"
"1";"000014";"2012"
"0.999901";"000014";"2013"
"0.999935";"000014";"2014"
"0.999677";"000014";"2015"
"0.999719";"000014";"2016"
"0.999771";"000014";"2017"
"0.9999";"000014";"2018"
"0.999971";"000014";"2019"
"1";"000014";"2020"
"0.987364";"000016";"2009"
"0.988132";"000016";"2010"
"0.988269";"000016";"2011"
"0.982236";"000016";"2012"
"0.976909";"000016";"2013"
"0.979068";"000016";"2014"
"0.975005";"000016";"2015"
"0.982274";"000016";"2016"
"0.991143";"000016";"2017"
"0.951691";"000016";"2018"
"0.953213";"000016";"2019"
"0.962608";"000016";"2020"
"0.772128";"000019";"2009"
"0.715449";"000019";"2010"
"0.809286";"000019";"2011"
"0.837855";"000019";"2012"
"0.846076";"000019";"2013"
"0.829414";"000019";"2014"
"0.817949";"000019";"2015"
"0.833394";"000019";"2016"
"0.824997";"000019";"2017"
"0.911887";"000019";"2018"
"0.913039";"000019";"2019"
"0.918009";"000019";"2020"
"0.927615";"000020";"2009"
"0.926399";"000020";"2010"
"0.922255";"000020";"2011"
"0.925859";"000020";"2012"
"0.932507";"000020";"2013"
"0.958833";"000020";"2014"
"0.95985";"000020";"2015"
"0.929044";"000020";"2016"
"0.931232";"000020";"2017"
"0.932237";"000020";"2018"
"0.930037";"000020";"2019"
"0.934976";"000020";"2020"
"0.997703";"000021";"2009"
"0.998168";"000021";"2010"
"0.994129";"000021";"2011"
"0.994146";"000021";"2012"
"0.99296";"000021";"2013"
"0.98923";"000021";"2014"
"0.988519";"000021";"2015"
"0.986185";"000021";"2016"
"0.985543";"000021";"2017"
"0.963542";"000021";"2018"
"0.968796";"000021";"2019"
"0.971671";"000021";"2020"
"0.99964";"000025";"2009"
"0.99963";"000025";"2010"
"0.999712";"000025";"2011"
"0.999835";"000025";"2012"
"0.999953";"000025";"2013"
"0.933123";"000025";"2014"
"0.954662";"000025";"2015"
"0.954803";"000025";"2016"
"0.962696";"000025";"2017"
"0.969238";"000025";"2018"
"0.969278";"000025";"2019"
"0.969781";"000025";"2020"
"0.991157";"000026";"2009"
"0.992105";"000026";"2010"
"0.9872";"000026";"2011"
"0.988953";"000026";"2012"
"0.989837";"000026";"2013"
"0.990294";"000026";"2014"
"0.991422";"000026";"2015"
"0.990324";"000026";"2016"
"0.987646";"000026";"2017"
"0.987903";"000026";"2018"
"0.989707";"000026";"2019"
"0.990579";"000026";"2020"
"0.998146";"000029";"2009"
"0.998161";"000029";"2010"
"0.998085";"000029";"2011"
"0.99842";"000029";"2012"
"0.998398";"000029";"2013"
"0.998583";"000029";"2014"
"0.998647";"000029";"2015"
"0.998641";"000029";"2016"
"0.999986";"000029";"2017"
"1";"000029";"2018"
"1";"000029";"2019"
"1";"000029";"2020"
"0.968967";"000030";"2009"
"1";"000030";"2010"
"1";"000030";"2011"
"1";"000030";"2012"
"0.957711";"000030";"2013"
"0.965255";"000030";"2014"
"0.965801";"000030";"2015"
"0.967284";"000030";"2016"
"0.971382";"000030";"2017"
"0.9602";"000030";"2018"
"0.963054";"000030";"2019"
"0.952339";"000030";"2020"
"0.998011";"000031";"2009"
"0.998568";"000031";"2010"
"0.99872";"000031";"2011"
"0.998694";"000031";"2012"
"0.996419";"000031";"2013"
"0.995186";"000031";"2014"
"0.996462";"000031";"2015"
"0.996661";"000031";"2016"
"0.997517";"000031";"2017"
"0.997948";"000031";"2018"
"0.988001";"000031";"2019"
"0.989397";"000031";"2020"
"0.969041";"000032";"2009"
"0.970767";"000032";"2010"
"0.801936";"000032";"2011"
"0.821658";"000032";"2012"
"0.806149";"000032";"2013"
"0.894336";"000032";"2014"
"0.864604";"000032";"2015"
"0.860748";"000032";"2016"
"0.866688";"000032";"2017"
"0.886262";"000032";"2018"
"0.898566";"000032";"2019"
"0.912933";"000032";"2020"
"0.973472";"000034";"2009"
"0.979484";"000034";"2010"
"0.960048";"000034";"2011"
"0.954892";"000034";"2012"
"0.986975";"000034";"2013"
"0.989732";"000034";"2014"
"0.989866";"000034";"2015"
"0.961006";"000034";"2016"
"0.855948";"000034";"2017"
"0.866179";"000034";"2018"
"0.885052";"000034";"2019"
"0.892964";"000034";"2020"
"0.986114";"000035";"2009"
"0.987499";"000035";"2010"
"0.992083";"000035";"2011"
"0.98404";"000035";"2012"
"1";"000035";"2013"
"0.799771";"000035";"2014"
"0.5914";"000035";"2015"
"0.708969";"000035";"2016"
"0.73031";"000035";"2017"
"0.675004";"000035";"2018"
"0.663458";"000035";"2019"
"0.667261";"000035";"2020"
"0.988189";"000037";"2009"
"0.987832";"000037";"2010"
"0.988298";"000037";"2011"
"0.988716";"000037";"2012"
"0.989169";"000037";"2013"
"0.988821";"000037";"2014"
"0.988253";"000037";"2015"
"0.988294";"000037";"2016"
"0.983192";"000037";"2017"
"0.986095";"000037";"2018"
"0.986456";"000037";"2019"
"0.993007";"000037";"2020"
"1";"000038";"2009"
"1";"000038";"2010"
"1";"000038";"2011"
"1";"000038";"2012"
"1";"000038";"2013"
"1";"000038";"2014"
"1";"000038";"2015"
"0.633667";"000038";"2016"
"0.58876";"000038";"2017"
"0.989007";"000038";"2018"
"0.997694";"000038";"2019"
"0.964086";"000038";"2020"
"0.944647";"000040";"2009"
"0.950694";"000040";"2010"
"0.984836";"000040";"2011"
"0.995027";"000040";"2012"
"0.996452";"000040";"2013"
"0.996859";"000040";"2014"
"0.997495";"000040";"2015"
"0.998309";"000040";"2016"
"0.974725";"000040";"2017"
"0.967755";"000040";"2018"
"0.967196";"000040";"2019"
"0.965038";"000040";"2020"
"0.998765";"000042";"2009"
"0.999002";"000042";"2010"
"0.999026";"000042";"2011"
"0.99914";"000042";"2012"
"0.999174";"000042";"2013"
"0.999615";"000042";"2014"
"0.999672";"000042";"2015"
"0.999736";"000042";"2016"
"0.99985";"000042";"2017"
"0.999907";"000042";"2018"
"0.99994";"000042";"2019"
"0.999964";"000042";"2020"
"0.926266";"000045";"2009"
"0.964808";"000045";"2010"
"0.968929";"000045";"2011"
"0.970342";"000045";"2012"
"0.981242";"000045";"2013"
"0.981796";"000045";"2014"
"0.986318";"000045";"2015"
"0.990363";"000045";"2016"
"0.990736";"000045";"2017"
"0.991799";"000045";"2018"
"0.991941";"000045";"2019"
"0.992746";"000045";"2020"
"0.995779";"000046";"2009"
"0.999478";"000046";"2010"
"0.999573";"000046";"2011"
"0.999588";"000046";"2012"
"0.999644";"000046";"2013"
"0.98915";"000046";"2014"
"0.982811";"000046";"2015"
"0.985082";"000046";"2016"
"0.983212";"000046";"2017"
"0.985603";"000046";"2018"
"0.98345";"000046";"2019"
"0.985779";"000046";"2020"
"0.845155";"000048";"2009"
"0.808333";"000048";"2010"
"0.925368";"000048";"2011"
"0.912799";"000048";"2012"
"0.891014";"000048";"2013"
"0.929717";"000048";"2014"
"0.934202";"000048";"2015"
"0.94054";"000048";"2016"
"0.97255";"000048";"2017"
"0.980411";"000048";"2018"
"0.992887";"000048";"2019"
"0.996849";"000048";"2020"
"0.965813";"000049";"2009"
"0.989551";"000049";"2010"
"0.981242";"000049";"2011"
"0.986269";"000049";"2012"
"0.992919";"000049";"2013"
"0.990026";"000049";"2014"
"0.986255";"000049";"2015"
"0.987919";"000049";"2016"
"0.992239";"000049";"2017"
"0.993639";"000049";"2018"
"0.979608";"000049";"2019"
"0.976112";"000049";"2020"
"0.97048";"000050";"2009"
"0.973406";"000050";"2010"
"0.973972";"000050";"2011"
"0.973639";"000050";"2012"
"0.974649";"000050";"2013"
