"ts_code";"symbol";"name";"area";"industry";"fullname";"enname";"market";"exchange";"curr_type";"list_status";"list_date";"delist_date";"is_hs";"live_year"
"000001.SZ";"000001";"平安银行";"广东";"银行";"平安银行股份有限公司";"Ping An Bank Co., Ltd.";"主板";"SZSE";"CNY";"L";"1991";"";"S";"31"
"000002.SZ";"000002";"万科A";"广东";"全国地产";"万科企业股份有限公司";"China Vanke Co.,Ltd.";"主板";"SZSE";"CNY";"L";"1991";"";"S";"31"
"000004.SZ";"000004";"国华网安";"广东";"软件服务";"深圳国华网安科技股份有限公司";"Shenzhen Guohua Network Security Technology Co., Ltd.";"主板";"SZSE";"CNY";"L";"1991";"";"N";"31"
"000005.SZ";"000005";"ST星源";"广东";"环境保护";"深圳世纪星源股份有限公司";"Shenzhen Fountain Corporation";"主板";"SZSE";"CNY";"L";"1990";"";"N";"32"
"000006.SZ";"000006";"深振业A";"广东";"区域地产";"深圳市振业(集团)股份有限公司";"Shenzhen Zhenye(Group) Co.,Ltd.";"主板";"SZSE";"CNY";"L";"1992";"";"S";"30"
"000007.SZ";"000007";"*ST全新";"广东";"酒店餐饮";"深圳市全新好股份有限公司";"Shenzhen Quanxinhao Co.,Ltd";"主板";"SZSE";"CNY";"L";"1992";"";"N";"30"
"000008.SZ";"000008";"神州高铁";"北京";"运输设备";"神州高铁技术股份有限公司";"China High Speed Railway Technology Co., Ltd.";"主板";"SZSE";"CNY";"L";"1992";"";"S";"30"
"000009.SZ";"000009";"中国宝安";"广东";"电气设备";"中国宝安集团股份有限公司";"China Baoan Group Co.,Ltd.";"主板";"SZSE";"CNY";"L";"1991";"";"S";"31"
"000010.SZ";"000010";"美丽生态";"广东";"建筑工程";"深圳美丽生态股份有限公司";"Shenzhen Ecobeauty Co.,Ltd.";"主板";"SZSE";"CNY";"L";"1995";"";"N";"27"
"000011.SZ";"000011";"深物业A";"广东";"区域地产";"深圳市物业发展(集团)股份有限公司";"Shenzhen Properties & Resources Development (Group) Ltd.";"主板";"SZSE";"CNY";"L";"1992";"";"S";"30"
"000012.SZ";"000012";"南玻A";"广东";"玻璃";"中国南玻集团股份有限公司";"CSG Holding Co.,Ltd.";"主板";"SZSE";"CNY";"L";"1992";"";"S";"30"
"000014.SZ";"000014";"沙河股份";"广东";"全国地产";"沙河实业股份有限公司";"Shahe Industrial Co.,Ltd.";"主板";"SZSE";"CNY";"L";"1992";"";"N";"30"
"000016.SZ";"000016";"深康佳A";"广东";"家用电器";"康佳集团股份有限公司";"Konka Group Co.,Ltd";"主板";"SZSE";"CNY";"L";"1992";"";"S";"30"
"000017.SZ";"000017";"深中华A";"广东";"文教休闲";"深圳中华自行车(集团)股份有限公司";"Shenzhen China Bicycle Company (Holdings) Limited";"主板";"SZSE";"CNY";"L";"1992";"";"N";"30"
"000019.SZ";"000019";"深粮控股";"广东";"其他商业";"深圳市深粮控股股份有限公司";"Shenzhen Cereals Holdings Co.,Ltd.";"主板";"SZSE";"CNY";"L";"1992";"";"S";"30"
"000020.SZ";"000020";"深华发A";"广东";"元器件";"深圳中恒华发股份有限公司";"Shenzhen Zhongheng Huafa Co.,Ltd.";"主板";"SZSE";"CNY";"L";"1992";"";"N";"30"
"000021.SZ";"000021";"深科技";"广东";"IT设备";"深圳长城开发科技股份有限公司";"Shenzhen Kaifa Technology Co., Ltd.";"主板";"SZSE";"CNY";"L";"1994";"";"S";"28"
"000023.SZ";"000023";"深天地A";"广东";"水泥";"深圳市天地(集团)股份有限公司";"Shenzhen Universe (Group) Co.,Ltd";"主板";"SZSE";"CNY";"L";"1993";"";"N";"29"
"000025.SZ";"000025";"特力A";"广东";"汽车服务";"深圳市特力(集团)股份有限公司";"Shenzhen Tellus Holding Co.,Ltd";"主板";"SZSE";"CNY";"L";"1993";"";"N";"29"
"000026.SZ";"000026";"飞亚达";"广东";"其他商业";"飞亚达精密科技股份有限公司";"Fiyta Precision Technology Co., Ltd.";"主板";"SZSE";"CNY";"L";"1993";"";"N";"29"
"000027.SZ";"000027";"深圳能源";"广东";"火力发电";"深圳能源集团股份有限公司";"Shenzhen Energy Group Co., Ltd.";"主板";"SZSE";"CNY";"L";"1993";"";"S";"29"
