"tuobinQ";"ts_code";"time"
"1.08844";"000001";"2009"
"1.02675";"000001";"2010"
"1.002164";"000001";"2011"
"0.998973";"000001";"2012"
"0.995806";"000001";"2013"
"1.019698";"000001";"2014"
"1.003311";"000001";"2015"
"0.986751";"000001";"2016"
"1.001915";"000001";"2017"
"0.976896";"000001";"2018"
"1.001585";"000001";"2019"
"1.511156";"000002";"2009"
"1.165389";"000002";"2010"
"1.04268";"000002";"2011"
"1.076892";"000002";"2012"
"0.968694";"000002";"2013"
"1.064914";"000002";"2014"
"1.192347";"000002";"2015"
"1.06901";"000002";"2016"
"1.117963";"000002";"2017"
"1.015736";"000002";"2018"
"1.046272";"000002";"2019"
"5.781353";"000004";"2010"
"3.752369";"000004";"2011"
"3.789974";"000004";"2012"
"4.439229";"000004";"2013"
"4.395818";"000004";"2014"
"10.146903";"000004";"2015"
"16.863928";"000004";"2016"
"7.229836";"000004";"2017"
"4.270074";"000004";"2018"
"1.329375";"000004";"2019"
"4.637656";"000005";"2009"
"3.070609";"000005";"2010"
"2.539861";"000005";"2012"
"2.396972";"000005";"2013"
"3.251515";"000005";"2014"
"4.704055";"000005";"2015"
"2.9812";"000005";"2016"
"1.918948";"000005";"2017"
"1.362037";"000005";"2018"
"1.503899";"000005";"2019"
"1.475423";"000006";"2009"
"1.311918";"000006";"2010"
"1.137113";"000006";"2011"
"1.296547";"000006";"2012"
"1.245489";"000006";"2013"
"1.447486";"000006";"2014"
"1.863048";"000006";"2015"
"1.576953";"000006";"2016"
"1.044756";"000006";"2018"
"1.00417";"000006";"2019"
"4.729332";"000007";"2009"
"5.855905";"000007";"2010"
"3.712288";"000007";"2011"
"4.086063";"000007";"2012"
"4.471492";"000007";"2013"
"4.945887";"000007";"2014"
"10.500336";"000007";"2015"
"10.504848";"000007";"2016"
"5.253489";"000007";"2018"
"6.143845";"000007";"2019"
"8.349171";"000008";"2009"
"11.358072";"000008";"2010"
"6.690326";"000008";"2011"
"1.859996";"000008";"2012"
"2.679323";"000008";"2013"
"5.396965";"000008";"2014"
"2.887373";"000008";"2015"
"2.299946";"000008";"2016"
"2.16656";"000008";"2017"
"1.308414";"000008";"2018"
"1.197542";"000008";"2019"
"2.085752";"000009";"2009"
"2.430218";"000009";"2010"
"1.652351";"000009";"2011"
"1.368567";"000009";"2012"
"1.494473";"000009";"2013"
"1.942827";"000009";"2014"
"2.13849";"000009";"2015"
"1.644684";"000009";"2016"
"1.203513";"000009";"2017"
"0.960785";"000009";"2018"
"1.171654";"000009";"2019"
"4.301206";"000010";"2009"
"6.103702";"000010";"2012"
"2.727704";"000010";"2013"
"3.877856";"000010";"2014"
"1.588942";"000010";"2015"
"1.419832";"000010";"2016"
"1.669492";"000010";"2017"
"1.405094";"000010";"2018"
"1.301824";"000010";"2019"
"1.559555";"000011";"2009"
"1.312953";"000011";"2010"
"1.195346";"000011";"2011"
"1.203142";"000011";"2012"
"1.2542";"000011";"2013"
"1.323899";"000011";"2014"
"1.493642";"000011";"2015"
"1.42149";"000011";"2016"
"1.418736";"000011";"2017"
"1.09192";"000011";"2018"
"1.186674";"000011";"2019"
"1.912127";"000012";"2009"
"3.062951";"000012";"2010"
"1.502386";"000012";"2011"
"1.474481";"000012";"2012"
"1.396454";"000012";"2013"
"1.428544";"000012";"2014"
"1.91822";"000012";"2015"
"1.631295";"000012";"2016"
"1.402037";"000012";"2017"
